0|1623120234.905898
ack0|1623120234.9499004
1|1623120234.9569008
ack1|1623120234.9689014
2|1623120234.9779022
ack2|1623120234.9889026
3|1623120234.994903
3|1623120235.4889314
ack3|1623120235.4999318
4|1623120235.5079324
4|1623120235.9999607
ack4|1623120235.9999607
5|1623120236.0079608
5|1623120236.499989
ack5|1623120236.51799
6|1623120236.5249906
6|1623120237.0180187
6|1623120237.5180473
ack6|1623120237.5340483
7|1623120237.5410485
ack7|1623120237.56705
8|1623120237.5740507
8|1623120238.0670786
8|1623120238.5671074
8|1623120239.067136
8|1623120239.5671644
ack8|1623120239.5671644
9|1623120239.575165
ack9|1623120239.5851655
10|1623120239.593166
10|1623120240.0851939
ack10|1623120240.1001952
11|1623120240.1081953
11|1623120240.6002235
11|1623120241.1002522
ack11|1623120241.1002522
12|1623120241.1072526
ack12|1623120241.117253
13|1623120241.1252537
ack13|1623120241.1372545
14|1623120241.1452549
ack14|1623120241.1592555
15|1623120241.1662562
ack15|1623120241.1752565
16|1623120241.182257
ack16|1623120241.2162588
17|1623120241.2232592
17|1623120241.7162874
17|1623120242.216316
17|1623120242.7163446
17|1623120243.2163732
17|1623120243.7164018
17|1623120244.2164304
17|1623120244.716459
17|1623120245.2164876
17|1623120245.716516
17|1623120246.2165449
